Date,Close,t,y
4/11/2013,1593.37,1,7.373606549
4/10/2013,1587.73,1,7.370060602
4/9/2013,1568.61,1,7.357945156
4/8/2013,1563.07,3,7.354407115
4/5/2013,1553.28,1,7.348124103
4/4/2013,1559.98,1,7.35242828
4/3/2013,1553.69,1,7.348388026
4/2/2013,1570.25,1,7.358990121
4/1/2013,1562.17,4,7.353831159
3/28/2013,1569.19,1,7.358314842
3/27/2013,1562.85,1,7.354266357
3/26/2013,1563.77,1,7.354854851
3/25/2013,1551.69,3,7.347099939
3/22/2013,1556.89,1,7.350445521
3/21/2013,1545.8,1,7.343296855
3/20/2013,1558.71,1,7.351613835
3/19/2013,1548.34,1,7.344938668
3/18/2013,1552.1,3,7.347364132
3/15/2013,1560.7,1,7.352889718
3/14/2013,1563.23,1,7.354509473
3/13/2013,1554.52,1,7.348922095
3/12/2013,1552.48,1,7.347608931
3/11/2013,1556.22,3,7.350015083
3/8/2013,1551.18,1,7.346771211
3/7/2013,1544.26,1,7.34230011
3/6/2013,1541.46,1,7.340485298
3/5/2013,1539.79,1,7.339401322
3/4/2013,1525.2,3,7.329880828
3/1/2013,1518.2,1,7.325280702
2/28/2013,1514.68,1,7.322959475
2/27/2013,1515.99,1,7.32382397
2/26/2013,1496.94,1,7.311178303
2/25/2013,1487.85,3,7.305087404
2/22/2013,1515.6,1,7.323566679
2/21/2013,1502.42,1,7.31483242
2/20/2013,1511.95,1,7.321155487
2/19/2013,1530.94,4,7.333637205
2/15/2013,1519.79,1,7.326327446
2/14/2013,1521.38,1,7.327373097
2/13/2013,1520.33,1,7.326682696
2/12/2013,1519.43,1,7.326090544
2/11/2013,1517.01,3,7.324496571
2/8/2013,1517.93,1,7.325102844
2/7/2013,1509.39,1,7.319460875
2/6/2013,1512.12,1,7.321267919
2/5/2013,1511.29,1,7.32071887
2/4/2013,1495.71,3,7.310356289
2/1/2013,1513.17,1,7.321962067
1/31/2013,1498.11,1,7.311959593
1/30/2013,1501.96,1,7.314526201
1/29/2013,1507.84,1,7.318433442
1/28/2013,1500.18,3,7.31334038
1/25/2013,1502.96,1,7.315191776
1/24/2013,1494.82,1,7.309761077
1/23/2013,1494.81,1,7.309754387
1/22/2013,1492.56,4,7.308248045
1/18/2013,1485.98,1,7.303829766
1/17/2013,1480.94,1,7.3004323
1/16/2013,1472.63,1,7.294805197
1/15/2013,1472.34,1,7.294608251
1/14/2013,1470.68,3,7.293480158
1/11/2013,1472.05,1,7.294411266
1/10/2013,1472.12,1,7.294458818
1/9/2013,1461.02,1,7.286890101
1/8/2013,1457.15,1,7.284237752
1/7/2013,1461.89,3,7.287485398
1/4/2013,1466.47,1,7.290613431
1/3/2013,1459.37,1,7.285760115
1/2/2013,1462.42,2,7.287847877
12/31/2012,1426.19,3,7.262761832
12/28/2012,1402.43,1,7.245961725
12/27/2012,1418.1,1,7.257073226
12/26/2012,1419.83,2,7.258292425
12/24/2012,1426.66,3,7.263091327
12/21/2012,1430.15,1,7.265534613
12/20/2012,1443.69,1,7.274957615
12/19/2012,1435.81,1,7.269484429
12/18/2012,1446.79,1,7.277102588
12/17/2012,1430.36,3,7.26568144
12/14/2012,1413.58,1,7.253880773
12/13/2012,1419.45,1,7.258024752
12/12/2012,1428.48,1,7.264366221
12/11/2012,1427.84,1,7.263918092
12/10/2012,1418.55,3,7.257390502
12/7/2012,1418.07,1,7.257052071
12/6/2012,1413.94,1,7.254135413
12/5/2012,1409.28,1,7.250834215
12/4/2012,1407.05,1,7.249250593
12/3/2012,1409.46,3,7.250961931
11/30/2012,1416.18,1,7.255718385
11/29/2012,1415.95,1,7.255555963
11/28/2012,1409.93,1,7.251295337
11/27/2012,1398.94,1,7.243470086
11/26/2012,1406.29,3,7.24871031
11/23/2012,1409.15,2,7.250741965
11/21/2012,1391.03,1,7.237799759
11/20/2012,1387.81,1,7.235482244
11/19/2012,1386.89,3,7.234819109
11/16/2012,1359.88,1,7.21515174
11/15/2012,1353.33,1,7.210323501
11/14/2012,1355.49,1,7.211918292
11/13/2012,1374.53,1,7.225867133
11/12/2012,1380.03,3,7.229860517
11/9/2012,1379.85,1,7.229730077
11/8/2012,1377.51,1,7.228032801
11/7/2012,1394.53,1,7.24031272
11/6/2012,1428.39,1,7.264303215
11/5/2012,1417.26,3,7.256480709
11/2/2012,1414.2,1,7.254319279
11/1/2012,1427.59,1,7.263742987
10/31/2012,1412.16,5,7.252875726
10/26/2012,1411.94,1,7.252719924
10/25/2012,1412.97,1,7.253449151
10/24/2012,1408.75,1,7.250458065
10/23/2012,1413.11,1,7.253548228
10/22/2012,1433.82,3,7.26809749
10/19/2012,1433.19,1,7.267658008
10/18/2012,1457.34,1,7.284368135
10/17/2012,1460.91,1,7.286814808
10/16/2012,1454.92,1,7.282706195
10/15/2012,1440.13,3,7.272488666
10/12/2012,1428.59,1,7.264443223
10/11/2012,1432.84,1,7.267413768
10/10/2012,1432.56,1,7.267218333
10/9/2012,1441.48,1,7.273425643
10/8/2012,1455.88,3,7.283365808
10/5/2012,1460.93,1,7.286828498
10/4/2012,1461.4,1,7.287150159
10/3/2012,1450.99,1,7.280001361
10/2/2012,1445.75,1,7.276383497
10/1/2012,1444.49,3,7.275511597
9/28/2012,1440.67,1,7.272863562
9/27/2012,1447.15,1,7.277351384
9/26/2012,1433.32,1,7.267748711
9/25/2012,1441.59,1,7.27350195
9/24/2012,1456.89,3,7.284059306
9/21/2012,1460.15,1,7.286294449
9/20/2012,1460.26,1,7.286369781
9/19/2012,1461.05,1,7.286910634
9/18/2012,1459.32,1,7.285725853
9/17/2012,1461.19,3,7.287006451
9/14/2012,1465.77,1,7.290135981
9/13/2012,1459.99,1,7.286184865
9/12/2012,1436.56,1,7.270006646
9/11/2012,1433.56,1,7.26791614
9/10/2012,1429.08,3,7.26478616
9/7/2012,1437.92,1,7.270952904
9/6/2012,1432.12,1,7.266911143
9/5/2012,1403.44,1,7.246681645
9/4/2012,1404.94,4,7.247749876
8/31/2012,1406.58,1,7.248916505
8/30/2012,1399.48,1,7.243856018
8/29/2012,1410.49,1,7.251692441
8/28/2012,1409.3,1,7.250848406
8/27/2012,1410.44,3,7.251656991
8/24/2012,1411.13,1,7.252146081
8/23/2012,1402.08,1,7.245712127
